X_Minimum,X_Maximum,Pixels_Areas,X_Perimeter,Y_Perimeter,Sum_of_Luminosity,Minimum_of_Luminosity,Length_of_Conveyer,Edges_Index,Empty_Index,Square_Index,Outside_X_Index,Edges_X_Index,Edges_Y_Index,Outside_Global_Index,LogOfAreas,Log_X_Index,Log_Y_Index,Orientation_Index,SigmoidOfAreas
584,590,16,8,5,2274,113,1358,0.7393,0.4,0.5,0.0059,1.0,1.0,0.0,1.2041,0.9031,0.699,-0.5,0.1417
808,816,433,20,54,44478,70,1687,0.7772,0.2878,0.2581,0.0044,0.25,1.0,1.0,2.6365,0.7782,1.7324,0.7419,0.9491
39,192,11388,705,420,1311391,29,1400,0.0557,0.5282,0.9895,0.1077,0.2363,0.3857,0.0,4.0564,2.179,2.2095,-0.0105,1.0
781,789,210,16,29,3202,114,1387,0.7202,0.3333,0.3333,0.0044,0.375,0.931,1.0,2.3222,0.7782,1.4314,0.6667,0.4025
1540,1560,521,72,67,48231,82,1692,0.1211,0.5347,0.0842,0.0192,0.2105,0.9861,1.0,2.7694,1.415,1.8808,0.9158,0.9998
1009,1033,409,22,26,47513,86,1650,0.2761,0.4136,0.4091,0.0053,0.5454,1.0,1.0,2.6117,0.9542,1.415,0.5909,0.8749
596,607,204,21,21,22478,89,1373,0.8331,0.2744,0.6842,0.011,0.7143,1.0,1.0,2.3096,1.1761,1.3222,0.3158,0.5212
1673,1687,571,38,57,53142,77,1692,0.1491,0.4326,0.9643,0.0142,0.5686,0.7179,1.0,2.7528,1.3802,1.7559,0.0357,0.9408
507,521,101,25,12,12530,124,1360,0.721,0.4815,0.3333,0.0176,0.8,0.75,0.0,2.0043,1.3802,0.7782,-0.6667,0.3601
893,907,54,6,15,7052,87,1687,0.8088,0.2,0.5333,0.0037,0.8333,1.0,1.0,1.7324,0.699,1.1761,0.4667,0.14
1122,1133,289,37,42,32358,84,1360,0.3187,0.5245,0.8824,0.0125,0.3778,0.6667,1.0,2.4609,1.2305,1.4472,0.1177,0.8705
1313,1324,116,27,29,9120,105,1356,0.0047,0.2273,0.2903,0.0126,0.5294,0.931,1.0,2.0645,1.2305,1.4624,0.7097,0.2901
1553,1563,75,12,11,7987,77,1686,0.1182,0.3333,0.9167,0.0053,0.75,1.0,1.0,1.8751,0.9542,1.0414,0.0833,0.2051
974,985,81,14,13,9137,148,1387,0.8659,0.2727,0.6923,0.0066,0.6429,0.9231,1.0,1.9085,0.9542,1.1139,0.3077,0.2253
39,220,6644,302,136,689961,40,1356,0.0574,0.4571,0.4124,0.1333,0.5662,0.4853,0.0,3.8224,2.2577,1.8195,-0.5876,1.0
1,250,25473,865,536,2529140,25,1398,0.0,0.494,0.88,0.1723,0.2268,0.3511,0.0,4.3868,2.3747,2.2833,-0.12,1.0
41,197,11813,626,387,1302540,33,1402,0.0556,0.5908,0.8968,0.1127,0.2428,0.4189,0.0,4.0724,2.1847,2.1732,-0.1032,1.0
952,966,209,28,16,23782,118,1694,0.5089,0.3987,0.5294,0.0125,0.7727,0.5625,0.0,2.3201,1.2305,0.9542,-0.4706,0.4729
833,842,67,10,10,7391,82,1362,0.7338,0.3,0.9,0.0066,0.9,1.0,1.0,1.8261,0.9542,1.0,0.1,0.1954
1123,1140,67,30,12,7286,127,1354,0.6166,0.5462,0.7333,0.0089,0.6333,0.9167,0.0,1.8261,1.1761,1.0414,-0.2667,0.286
545,583,979,131,91,118187,107,1364,0.5196,0.4768,0.5786,0.0704,0.6389,0.5714,0.0,2.9908,1.6812,1.9085,-0.4214,1.0
907,914,145,21,26,18047,84,1387,0.8304,0.2597,0.3462,0.0071,0.6,1.0,1.0,2.1614,1.0792,1.415,0.6539,0.3882
936,944,162,16,20,18047,95,1690,0.7325,0.3726,0.7,0.0053,0.75,0.3,1.0,2.2095,0.9542,1.301,0.3,0.463
1230,1244,89,20,16,8586,97,1652,0.7599,0.4208,0.6429,0.0071,0.7083,0.9375,1.0,1.9494,1.0792,1.1461,0.3571,0.2359
1538,1549,275,19,32,28986,71,1626,0.1494,0.399,0.375,0.0088,0.6316,1.0,1.0,2.4393,1.0792,1.5051,0.625,0.633
39,222,17810,745,463,2094532,25,1398,0.0558,0.509,0.9143,0.133,0.2403,0.3218,0.0,4.2507,2.2529,2.2095,-0.0857,1.0
3,15,140,17,31,13829,77,1688,0.0024,0.3626,0.2973,0.0047,0.4706,1.0,1.0,2.1461,0.9031,1.4914,0.7027,0.3601
1164,1173,75,13,16,8292,99,1650,0.2439,0.2424,0.4375,0.0055,0.6923,1.0,1.0,1.8751,0.9542,1.2041,0.5625,0.2583
243,370,1834,192,124,201109,115,1360,0.2835,0.7061,0.6333,0.0553,0.3304,0.6719,1.0,3.2601,1.8751,1.8865,0.3667,1.0
41,192,13057,626,453,1507763,33,1402,0.0585,0.4831,0.9639,0.1077,0.2422,0.3642,1.0,4.1177,2.179,2.2227,0.0361,1.0
374,381,313,43,34,40498,105,1354,0.5546,0.583,0.3543,0.0096,0.3913,0.9821,1.0,2.4955,1.1139,1.5682,0.6457,0.8299
1644,1661,762,102,155,63525,28,1692,0.0495,0.4194,0.0519,0.0095,0.0782,0.9916,1.0,2.8819,1.2041,2.1903,0.9481,0.9994
1223,1231,705,18,29,67978,93,1353,0.1279,0.4487,0.4091,0.0096,0.6154,0.931,1.0,2.8774,1.1139,1.4624,0.5909,0.9994
933,940,12,6,4,1504,110,1358,0.6471,0.55,1.0,0.0044,1.0,1.0,0.5,1.0792,0.7782,0.6021,0.0,0.1361
1579,1600,613,42,35,71852,108,1698,0.1111,0.5469,0.6727,0.0237,0.5122,0.9714,0.0,2.8482,1.6021,1.5185,-0.3273,0.9987
1310,1316,153,16,32,17101,104,1352,0.0532,0.3854,0.3333,0.0044,0.375,0.9688,1.0,2.1847,0.7782,1.5051,0.6667,0.4025
1197,1201,308,50,30,34230,113,1353,0.2173,0.5,0.6667,0.0176,0.4,0.6,0.0,2.4885,1.3802,1.4771,-0.3333,0.8299
